|                                                    name |         ra_h |         dec_d | WEBDA | OPENCLUST | Camargo | MWSC |   N_d |    dist_pc |      lon_d |      lat_d |       x_pc |       y_pc |       z_pc |
|                               Stock 4, Stock 4, Stock 4 |   1h53m00.5s |  57d02m20.75s |  1683 |       107 |      -- | 2546 |     3 |    1100.00 |   131.2650 |    -4.8331 |   -9023.17 |     823.89 |     -63.33 |
|                      ESO 245-09, ESO 245 09, ESO 245-09 |     1h53m43s |    -45d56m12s |   615 |       108 |      -- |  681 |     3 |     920.00 |   273.7349 |   -67.5015 |   -8279.79 |    -351.30 |    -823.05 |
|                      Berkeley 7, Berkeley 7, Berkeley 7 |   1h54m11.5s |     62d22m06s |   243 |       109 |      -- | 2724 |     3 |    2580.00 |   130.1365 |     0.3776 |   -9962.95 |    1972.40 |      49.41 |
|                                               MWSC 5572 |     1h54m18s |    -78d57m54s |    -- |        -- |      -- |   19 |     1 |    1472.00 |   299.1749 |   -37.7007 |   -7735.14 |   -1016.91 |    -875.02 |
|                         Czernik 5, Czernik 5, Czernik 5 |     1h55m43s |   61d21m11.5s |   466 |       110 |      -- | 2678 |     3 |    2633.33 |   130.5581 |    -0.5632 |  -10012.19 |    2000.57 |       6.69 |
|                                         IRAS 01546+6319 |     1h57m20s |     63d29m24s |    -- |        -- |      -- | 2759 |     1 |    2400.00 |   130.2064 |     1.5528 |   -9848.47 |    1832.27 |      97.07 |
|                              NGC 0752, NGC 752, NGC 752 |     1h57m23s |     37d47m15s |   963 |       111 |      -- | 2206 |     3 |     454.67 |   137.0623 |   -23.2681 |   -8606.32 |     284.53 |    -151.61 |
|                              NGC 0744, NGC 744, NGC 744 |     1h58m34s |     55d28m33s |   962 |       112 |      -- | 2524 |     3 |    1265.33 |   132.4054 |    -6.1564 |   -9148.78 |     928.93 |    -105.94 |
|                              NGC 0743, NGC 743, NGC 743 |     1h58m37s |     60d09m21s |   961 |       113 |      -- | 2625 |     3 |     906.00 |   131.2025 |    -1.6327 |   -8896.60 |     681.39 |       3.13 |
|                                  ASCC 7, ASCC 7, ASCC 7 |   1h59m00.5s |     58d56m51s |   126 |       114 |      -- | 2587 |     3 |    2000.00 |   131.5626 |    -2.7873 |   -9625.57 |    1494.69 |     -65.95 |
|                                               MWSC 5575 |     1h59m42s |    -83d03m00s |    -- |        -- |      -- |    7 |     1 |    2191.00 |   300.4842 |   -33.7509 |   -7379.76 |   -1569.91 |   -1193.28 |
|                                                FSR 0558 |     2h00m31s |     67d48m12s |    -- |        -- |      -- | 2806 |     1 |    2501.00 |   129.4047 |     5.8039 |   -9878.61 |    1922.57 |     285.05 |
|                      Berkeley 8, Berkeley 8, Berkeley 8 |   2h01m15.5s |     75d29m18s |   253 |       115 |      -- | 2843 |     3 |    3767.00 |   127.3601 |    13.2202 |  -10522.46 |    2914.80 |     895.73 |
|                         Czernik 6, Czernik 6, Czernik 6 |   2h01m57.5s |     62d50m30s |   467 |       116 |      -- | 2740 |     3 |    1363.67 |   130.8796 |     1.0632 |   -9192.20 |    1030.87 |      55.21 |
|                                                FSR 0555 |     2h02m49s |     70d41m48s |    -- |        -- |      -- | 2827 |     1 |    2200.00 |   128.8129 |     8.6443 |   -9662.12 |    1694.76 |     362.09 |
|                         Czernik 7, Czernik 7, Czernik 7 |  2h02m51.75s |     62d15m03s |   468 |       117 |      -- | 2715 |     3 |    2100.33 |   131.1402 |     0.5228 |   -9681.65 |    1581.70 |      50.66 |
|                                               Whiting 1 |     2h02m57s |     -3d15m10s |  1755 |        -- |      -- |   -- |     1 |        nan |   161.6176 |   -60.6359 |        nan |        nan |        nan |
|                               Stock 5, Stock 5, Stock 5 |   2h04m31.5s |     64d22m33s |  1684 |       118 |      -- | 2777 |     3 |    1100.00 |   130.7328 |     2.6167 |   -9016.82 |     832.67 |      79.55 |
|                                                FSR 0532 |     2h05m11s |     81d12m12s |    -- |        -- |      -- | 2849 |     1 |    2589.00 |   125.8596 |    18.7537 |   -9733.36 |    1986.87 |     864.04 |
|                                          SAI 16, SAI 16 |   2h05m34.5s |     62d15m54s |    -- |       119 |      -- | 2717 |     2 |    6219.50 |   131.4395 |     0.6241 |  -12415.71 |    4662.20 |     108.14 |
|                                                FSR 0561 |     2h05m54s |     67d44m42s |    -- |        -- |      -- | 2805 |     1 |    1466.00 |   129.9128 |     5.8881 |   -9235.11 |    1118.52 |     180.43 |
|                                      Riddle 4, Riddle 4 |   2h07m24.5s |   60d15m51.5s |    -- |       120 |      -- | 2630 |     2 |    2500.00 |   132.2235 |    -1.2297 |   -9979.79 |    1850.90 |     -21.19 |
|                                         IRAS 02044+6031 |     2h08m08s |     60d45m00s |    -- |        -- |      -- | 2656 |     1 |    2735.00 |   132.1675 |    -0.7391 |  -10135.91 |    2026.98 |      -2.31 |
|                                         IRAS 02054+6011 |     2h08m42s |     60d26m12s |    -- |        -- |      -- | 2637 |     1 |    2726.00 |   132.3259 |    -1.0182 |  -10135.36 |    2015.09 |     -15.47 |
|                                                FSR 0616 |     2h13m34s |     44d44m24s |    -- |        -- |      -- | 2344 |     1 |    1530.00 |   137.9318 |   -15.7265 |   -9394.57 |     986.75 |    -384.14 |
|                               Stock 2, Stock 2, Stock 2 |  2h14m44.75s |   59d24m28.5s |  1677 |       121 |      -- | 2603 |     3 |     335.33 |   133.3618 |    -1.7663 |   -8530.12 |     243.68 |      17.41 |
|                                         IRAS 02130+5509 |     2h16m34s |     55d23m48s |    -- |        -- |      -- | 2518 |     1 |    2500.00 |   134.8827 |    -5.4874 |  -10056.78 |    1763.27 |    -206.36 |
|                              NGC 0869, NGC 869, NGC 869 |     2h18m59s |     57d08m12s |   964 |       122 |      -- | 2548 |     3 |    2152.67 |   134.6272 |    -3.7338 |   -9809.42 |    1528.79 |    -108.27 |
|                            Basel 10, Basel 10, Basel 10 |     2h19m19s |     58d18m21s |   164 |       123 |      -- | 2573 |     3 |    1962.67 |   134.2795 |    -2.6165 |   -9669.06 |    1403.69 |     -58.14 |
|                   Berkeley 63, Berkeley 63, Berkeley 63 |     2h19m36s |     63d43m24s |   236 |       124 |      -- | 2762 |     3 |    4332.00 |   132.5041 |     2.5021 |  -11223.42 |    3190.63 |     225.63 |
|                                      FSR 0578, FSR 0578 |     2h20m07s |   61d06m18.5s |    -- |       125 |      -- | 2668 |     2 |    2668.00 |   133.4379 |     0.0553 |  -10134.37 |    1937.29 |      35.54 |
|                                  ASCC 8, ASCC 8, ASCC 8 |   2h20m47.5s |     59d39m00s |   137 |       127 |      -- | 2606 |     3 |    2067.00 |   134.0069 |    -1.2866 |   -9735.77 |    1486.33 |     -14.74 |
|                                          SAI 17, SAI 17 |   2h20m49.5s |     59d11m33s |    -- |       126 |      -- | 2596 |     2 |    3900.00 |   134.1658 |    -1.7156 |  -11016.38 |    2796.32 |     -80.93 |
|                   Berkeley 64, Berkeley 64, Berkeley 64 |     2h21m23s |     65d53m42s |   237 |       128 |      -- | 2795 |     3 |    4254.33 |   131.9478 |     4.6102 |  -11133.45 |    3153.94 |     378.17 |
|                              NGC 0884, NGC 884, NGC 884 |  2h22m11.75s |  57d08m17.25s |   965 |       129 |      -- | 2549 |     3 |    2543.33 |   135.0377 |    -3.5850 |  -10096.53 |    1793.71 |    -126.19 |
|                                        NGC 886, NGC 886 |     2h23m27s |     63d45m45s |  1434 |        -- |      -- | 2764 |     2 |    1350.00 |   132.8914 |     2.6843 |   -9217.56 |     987.99 |      93.21 |
|                                        Stock 6, Stock 6 |     2h23m42s |     63d52m00s |  1685 |       130 |      -- |   -- |     2 |     850.00 |   132.8809 |     2.7915 |   -8877.54 |     622.12 |      70.28 |
|                                         IRAS 02232+6138 |     2h26m34s |     61d59m18s |    -- |        -- |      -- | 2709 |     1 |    1835.00 |   133.8515 |     1.1503 |   -9570.84 |    1323.02 |      67.97 |
|                                      FSR 0584, FSR 0584 |     2h27m12s |     61d37m41s |    -- |       131 |      -- | 2693 |     2 |    2009.00 |   134.0510 |     0.8411 |   -9696.56 |    1443.76 |      61.04 |
|                                      FSR 0591, FSR 0591 |     2h27m42s |     58d45m31s |    -- |       132 |      -- | 2582 |     2 |    2248.50 |   135.1480 |    -1.8111 |   -9893.41 |    1585.03 |     -38.88 |
|                                                FSR 0568 |     2h28m55s |     72d11m24s |    -- |        -- |      -- | 2834 |     1 |    2301.00 |   130.3120 |    10.7295 |   -9761.16 |    1723.91 |     460.14 |
|                      Tombaugh 4, Tombaugh 4, Tombaugh 4 |     2h29m06s |   61d47m13.5s |  1691 |       134 |      -- | 2699 |     3 |    3240.00 |   134.2027 |     1.0713 |  -10558.27 |    2322.28 |      94.92 |
|                                  Teutsch 55, Teutsch 55 |     2h29m12s |   62d04m55.5s |    -- |       135 |      -- | 2710 |     2 |    4013.00 |   134.1050 |     1.3499 |  -11091.81 |    2880.80 |     130.62 |
|                                    Majaess 29, FSR 0569 |   2h29m37.5s |   72d33m11.5s |    -- |       133 |      -- | 2835 |     2 |    1187.50 |   130.2238 |    11.0862 |   -9051.76 |     889.77 |     257.79 |
|                                                FSR 0617 |     2h29m40s |     51d53m42s |    -- |        -- |      -- | 2454 |     1 |    4000.00 |   137.9455 |    -8.0902 |  -11242.24 |    2652.69 |    -526.36 |
|                           Stock 7, Markarian 6, Stock 7 |     2h29m41s |     60d40m36s |  1686 |       136 |      -- | 2652 |     3 |     748.67 |   134.6776 |     0.0651 |   -8826.35 |     532.36 |      29.56 |
|                                      FSR 0596, FSR 0596 |     2h29m48s |   58d06m18.5s |    -- |       137 |      -- | 2565 |     2 |    1417.00 |   135.6438 |    -2.3182 |   -9312.47 |     989.84 |     -27.02 |
|                                                FSR 0620 |     2h30m41s |     51d48m18s |    -- |        -- |      -- | 2451 |     1 |    2200.00 |   138.1266 |    -8.1147 |   -9922.72 |    1453.77 |    -278.26 |
|                              NGC 0956, NGC 956, NGC 956 |  2h32m10.75s |     44d36m00s |   966 |       138 |      -- | 2341 |     3 |    1742.00 |   141.1850 |   -14.6719 |   -9614.44 |    1056.30 |    -409.95 |
|                               IC 1805, IC 1805, IC 1805 |     2h32m43s |     61d27m09s |   773 |       139 |      -- | 2682 |     3 |    1976.67 |   134.7265 |     0.9219 |   -9690.69 |    1404.19 |      63.33 |
|                         Czernik 8, Czernik 8, Czernik 8 |   2h33m00.5s |     58d45m03s |   469 |       140 |      -- | 2583 |     3 |    1409.33 |   135.7900 |    -1.5620 |   -9309.89 |     982.35 |      -8.13 |
|                              NGC 0957, NGC 957, NGC 957 |     2h33m26s |     57d34m00s |   967 |       141 |      -- | 2557 |     3 |    1971.67 |   136.2953 |    -2.6345 |   -9724.07 |    1360.87 |     -59.00 |
|                         Czernik 9, Czernik 9, Czernik 9 |     2h33m32s |     59d52m51s |   470 |       142 |      -- | 2613 |     3 |    1740.00 |   135.4195 |    -0.4923 |   -9539.29 |    1221.28 |      16.08 |
|                      Czernik 10, Czernik 10, Czernik 10 |     2h33m54s |     60d10m24s |   433 |       143 |      -- | 2626 |     3 |    1358.33 |   135.3494 |    -0.2047 |   -9266.29 |     954.61 |      25.29 |
|                                          SAI 21, SAI 21 |   2h34m47.5s |     62d34m50s |    -- |       144 |      -- | 2729 |     2 |    1880.00 |   134.5175 |     2.0568 |   -9617.00 |    1339.64 |      98.76 |
|                                  King 4, King 4, King 4 |   2h35m53.5s |     59d00m45s |   827 |       145 |      -- | 2591 |     3 |    3048.33 |   136.0324 |    -1.1766 |  -10493.67 |    2115.87 |     -28.46 |
|                                  Czernik 11, Czernik 11 |     2h36m35s |     59d38m00s |   434 |       146 |      -- |   -- |     2 |     605.00 |   135.8695 |    -0.5710 |   -8734.19 |     421.24 |      22.38 |
|                      Trumpler 2, Trumpler 2, Trumpler 2 |  2h37m16.75s |   55d56m58.5s |  1704 |       147 |      -- | 2534 |     3 |     682.00 |   137.4138 |    -3.9174 |   -8801.06 |     460.43 |     -17.96 |
|                                      FSR 0611, FSR 0611 |     2h37m35s |     56d24m36s |    -- |       148 |      -- | 2538 |     2 |    1000.00 |   137.2691 |    -3.4781 |   -9033.34 |     677.31 |     -31.28 |
|                   Berkeley 65, Berkeley 65, Berkeley 65 |     2h39m00s |     60d24m30s |   238 |       149 |      -- | 2633 |     3 |    2349.67 |   135.8377 |     0.2601 |   -9985.47 |    1636.98 |      43.15 |
|                      Czernik 12, Czernik 12, Czernik 12 |     2h39m17s |     54d54m54s |   435 |       150 |      -- | 2512 |     3 |    1333.33 |   138.0912 |    -4.7510 |   -9289.18 |     887.54 |     -80.22 |
|                            NGC 1039, NGC 1039, NGC 1039 |   2h42m08.5s |     42d46m33s |   969 |       151 |      -- | 2316 |     3 |     502.67 |   143.6617 |   -15.5960 |   -8690.40 |     286.89 |    -106.87 |
|                                      FSR 0614, FSR 0614 |   2h42m31.5s |     56d44m03s |    -- |       152 |      -- | 2542 |     2 |    2610.50 |   137.7597 |    -2.9052 |  -10230.53 |    1752.63 |     -99.03 |
|                            NGC 1027, NGC 1027, NGC 1027 |  2h42m40.75s |  61d37m01.75s |   968 |       153 |      -- | 2690 |     3 |     917.33 |   135.7501 |     1.5455 |   -8956.72 |     639.87 |      53.88 |
|                      Czernik 13, Czernik 13, Czernik 13 |   2h44m34.5s |     62d20m03s |   436 |       155 |      -- | 2720 |     3 |    4007.67 |   135.6521 |     2.2898 |  -11163.05 |    2799.18 |     196.44 |
|                                              Majaess 30 |     2h44m36s |     60d59m42s |    -- |       154 |      -- |   -- |     1 |        nan |   136.2201 |     1.0770 |        nan |        nan |        nan |
|                                  ASCC 9, ASCC 9, ASCC 9 |     2h46m57s |  57d44m14.75s |   148 |       156 |      -- | 2561 |     3 |    2900.33 |   137.8784 |    -1.7429 |  -10450.48 |    1944.37 |     -54.22 |
|                                              Dol-Dzim 1 |     2h47m30s |     17d16m00s |   482 |        -- |      -- |   -- |     1 |        nan |   158.6170 |   -37.4353 |        nan |        nan |        nan |
|                                Teutsch 162, Teutsch 162 |     2h47m40s |     61d58m27s |    -- |       157 |      -- | 2708 |     2 |    1825.00 |   136.1327 |     2.1186 |   -9614.56 |    1263.84 |      98.74 |
|                                         IRAS 02459+6029 |     2h50m47s |     60d39m00s |    -- |        -- |      -- | 2648 |     1 |   12998.00 |   137.0489 |     1.0918 |  -17811.06 |    8854.90 |     305.61 |
|                               IC 1848, IC 1848, IC 1848 |     2h51m09s |     60d25m18s |   774 |       158 |      -- | 2634 |     3 |    1900.67 |   137.1906 |     0.9071 |   -9694.04 |    1291.46 |      61.63 |
|                                                FSR 0576 |     2h51m41s |     69d14m42s |    -- |        -- |      -- | 2819 |     1 |    5200.00 |   133.2808 |     8.8256 |  -11820.12 |    3740.79 |     836.28 |
|                                               Latysev 1 |     2h52m00s |     27d30m00s |   838 |        -- |      -- |   -- |     1 |        nan |   153.2799 |   -28.1737 |        nan |        nan |        nan |
|                                         IRAS 02497+6217 |     2h54m31s |     62d31m30s |    -- |        -- |      -- | 2727 |     1 |    2056.00 |   136.6028 |     2.9663 |   -9791.51 |    1410.69 |     138.25 |
|                                         IRAS 02511+6023 |     2h55m16s |     60d36m00s |    -- |        -- |      -- | 2645 |     1 |    2028.00 |   137.5624 |     1.2948 |   -9796.11 |    1368.12 |      77.69 |
