GLON,GLAT,RAJ2000,DEJ2000,Diam-a,Diam-b,Name,Class1,Class2,Com,Code,recno
25.21,0.14,18 36 47,-06 47 56,0.8,0.8,Ryu 865,OC   ,     ,                                ,REF805                                         ,1140
25.33,-5.52,18 57 23,-09 16 06,1.3,1.3,Ryu 866,OC   ,     ,                                ,REF805                                         ,1147
25.34,-3.84,18 51 19,-08 30 08,2.2,2.2,Ryu 251,OC   ,     ,                                ,REF805                                         ,1150
25.35,0.97,18 34 05,-06 18 08,1.7,1.7,Ryu 252,OC   ,     ,                                ,REF805                                         ,1151
25.56,5.08,18 19 50,-04 12 36,11,11,FSR 76,OC   ,     ,                                ,"REF507,REF1020,REF3033                         ",1158
25.63,4.42,18 22 19,-04 27 08,1.9,1.9,Ryu 868,OC   ,     ,                                ,REF805                                         ,1162
25.76,-5.7,18 58 50,-08 57 37,8,6,NGC 6728,OC   ,     ,                                ,"REF226,REF296                                  ",1164
25.79,2.69,18 28 46,-05 06 36,1.4,1.4,Ryu 253,OC   ,     ,                                ,REF805                                         ,1166
25.79,-22.91,20 02 48,-16 13 21,19,19,MWSC 5731,OC   ,     ,                                ,REF1098                                        ,1167
25.8,23.4,17 15 27,+04 34 10,22,22,MWSC 5344,OC   ,     ,                                ,REF1098                                        ,1168
25.81,19.77,17 28 22,+02 53 22,22,22,MWSC 5356,OC   ,     ,                                ,REF1098                                        ,1169
25.86,-4.01,18 52 53,-08 06 49,1.4,1.4,Ryu 254,OC   ,     ,                                ,REF805                                         ,1172
25.93,6.64,18 14 59,-03 09 19,5,5,FSR 78,OC   ,     ,                                ,REF507                                         ,1173
25.95,2.49,18 29 47,-05 03 58,0.9,0.9,Ryu 869,OC   ,     ,                                ,REF805                                         ,1174
25.97,0.41,18 37 13,-06 00 31,1.4,1.4,Ryu 255,OC   ,     ,                                ,REF805                                         ,1175
26.01,-5.2,18 57 26,-08 31 10,4.7,4.7,Ryu 256,OC   ,     ,                                ,REF805                                         ,1179
26.15,3.75,18 25 40,-04 18 30,1.2,1.2,Ryu 870,OC   ,     ,                                ,REF805                                         ,1183
26.18,-0.06,18 39 20,-06 01 09,5,4,Stephenson 2,OC   ,     ,"in pair, inc RSG stars          ","REF068,REF069,REF071,REF009,REF998,REF491,REF49",1185
26.27,-2.05,18 46 35,-06 51 54,1,1,Ryu 257,OC   ,     ,                                ,REF805                                         ,1186
26.36,-0.79,18 42 13,-06 12 42,6,6,NGC 6683,OC   ,     ,at edge of dark cloud           ,REF239                                         ,1189
26.64,12.19,17 56 38,+00 03 27,10,10,FSR 80,OC   ,     ,                                ,"REF507,REF3033                                 ",1201
26.84,14.7,17 48 08,+01 23 56,65,50,Collinder 350,OC   ,     ,                                ,REF239                                         ,1205
26.88,-5.1,18 58 40,-07 42 02,3.1,3.1,Ryu 258,OC   ,     ,                                ,REF805                                         ,1206
26.95,22.11,17 21 59,+04 54 52,17,17,MWSC 5350,OC   ,     ,                                ,REF1098                                        ,1208
26.98,25.36,17 10 27,+06 25 29,20,20,MWSC 5340,OC   ,     ,                                ,REF1098                                        ,1210
26.99,-0.28,18 41 34,-05 24 56,0.9,0.9,Ryu 876,OC   ,     ,                                ,REF805                                         ,1212
27.04,-19.92,19 53 24,-13 57 45,16,16,MWSC 5726,OC   ,     ,                                ,REF1098                                        ,1213
27.08,0.04,18 40 35,-05 11 22,1.1,1.1,Ryu 259,OC   ,     ,                                ,REF805                                         ,1214
27.15,-4.81,18 58 06,-07 19 51,1.3,1.3,Ryu 260,OC   ,     ,                                ,REF805                                         ,1216
27.21,-2.61,18 50 20,-06 16 50,1.1,1.1,Ryu 261,OC   ,     ,                                ,REF805                                         ,1220
