GLON,GLAT,RAJ2000,DEJ2000,Diam-a,Diam-b,Name,Class1,Class2,Com,Code,recno
308.37,2.22,13 35 23,-60 10 50,7,7,Collinder 275|OCL 908|ESO 132-13|MWSC 2138,OC   ,     ,contaminated                    ,REF239                                         ,8672
308.65,-3.82,13 48 11,-66 04 00,14,14,Collinder 277|OCL 909|ESO 97-6|MWSC 2166,OC   ,     ,in Platais 11                   ,REF239                                         ,8679
308.66,3.57,13 35 49,-58 48 36,24,24,ASCC 74|MWSC 2140,OC   ,     ,                                ,REF306                                         ,8681
308.68,-8.29,14 00 10,-70 23 32,8,6,NGC 5359|ESO 66-4|MWSC 2194,OC   ,lPOCR,                                ,REF226|REF234|REF985                           ,8683
308.72,-0.88,13 43 04,-63 09 53,8,8,SAI 118|MWSC 2153,OC   ,     ,                                ,REF778                                         ,8686
308.74,-0.15,13 41 55,-62 26 40,1.2,1.2,LS 98|La Serena 98,OC   ,     ,                                ,REF3050                                        ,8687
308.76,-7.26,13 57 55,-69 22 14,4,4,FSR 1661|MWSC 2188,OC   ,     ,contaminated                    ,REF507|REF3033                                 ,8689
308.79,-0.73,13 43 25,-63 00 48,6.4,6.4,Dias 4|MWSC 2154,OC   ,     ,                                ,REF298|REF627                                  ,8690
308.96,-0.67,13 44 48,-62 55 00,4,4,NGC 5269|ESO 97-4|MWSC 2156,OC   ,     ,                                ,REF226|REF234|REF667|REF3418                   ,8695
308.98,-4.24,13 52 16,-66 24 00,42,42,ASCC 76|MWSC 2171,OC   ,     ,                                ,REF306                                         ,8696
309.01,-2.49,13 48 45,-64 41 07,3,2,NGC 5288|Collinder 278|OCL 910|BH 153|ESO 97-7|MWSC 2168,OC   ,     ,                                ,REF239|REF1015                                 ,8697
309.07,2.08,13 41 05,-60 12 27,5,5,FSR 1663|SAI 117|MWSC 2148,OC   ,     ,                                ,REF507|REF778|REF3033                          ,8701
